1,2,3,4,5,6,7,8,9
SignalP 5.0,0.66,0.74,0.78,0.82,0.729,0.762,0.795,0.833
SignalP 4.1,n.d.,n.d.,n.d.,n.d.,0.695,0.729,0.762,0.786
DeepSig,n.d.,n.d.,n.d.,n.d.,0.624,0.652,0.69,0.724
LipoP,0.48,0.62,0.66,0.72,0.343,0.386,0.419,0.448
Philius,0.58,0.68,0.8,0.7,0.619,0.686,0.743,0.781
Phobius,0.54,0.64,0.66,0.7,0.667,0.7,0.738,0.786
PolyPhobius,0.56,0.68,0.68,0.7,0.681,0.733,0.776,0.833
PrediSi,n.d.,n.d.,n.d.,n.d.,0.652,0.695,0.719,0.767
PRED-LIPO,0.48,0.6,0.66,0.68,0.095,0.114,0.152,0.181
PRED-SIGNAL,0.8,0.9,0.9,0.9,0.224,0.29,0.329,0.362
PRED-TAT,0.58,0.72,0,0.82,0.41,0.51,0.571,0.614
Signal-3L 2.0,n.d.,n.d.,n.d.,n.d.,0.648,0.686,0.733,0.762
Signal-CF,n.d.,n.d.,n.d.,n.d.,0.652,0.676,0.724,0.762
SOSUIsignal,n.d.,n.d.,n.d.,n.d.,0.176,0.329,0.467,0.576
SPEPlip,n.d.,n.d.,n.d.,n.d.,0.71,0.733,0.771,0.81
SCOPTOCUS,0.34,0.48,0.52,0.56,0.39,0.533,0.686,0.757
TOPCONS2,0.48,0.6,0.62,0.64,0.371,0.505,0.638,0.729
TransPep,0.26,0.52,0.7,0.74,0.252,0.467,0.686,0.757
