P10719	MT	46
Q38786	CH	55
P15289	SP	18
P25705	MT	43
P00829	MT	48
P19633	SP	34
Q96252	MT	26
Q12165	MT	22
Q40089	MT	21
Q03352	SP	17
P24792	SP	30
P14133	SP	33
P31231	SP	22
P13671	SP	21
P02748	SP	21
P04037	MT	25
P11240	MT	37
P00428	MT	31
Q710D6	MT	30
Q86T13	SP	21
P02466	SP	22
P06681	SP	20
P48747	SP	21
P00426	MT	43
P20674	MT	41
L7VIN3	SP	23
P08125	SP	18
Q9SJ12	MT	32
Q15582	SP	23
O55038	SP	21
Q9NRR1	SP	22
Q9ZWA9	SP	25
Q875I9	SP	17
P32260	CH	52
Q07092	SP	21
P12075	MT	31
P52753	SP	22
P08796	SP	19
P52013	SP	22
Q9LU10	TH	90
Q5DW47	SP	21
A6Q0K5	CH	27
Q8T0W3	SP	25
Q9ZP27	CH	57
P27919	SP	28
P19483	MT	43
P06576	MT	47
Q00972	MT	30
O11780	SP	23
Q5W280	SP	19
P22068	MT	44
O96910	SP	18
Q9LRC8	SP	25
Q8JFQ0	SP	19
P54967	MT	26
P01500	SP	27
Q5GQ85	SP	16
P16860	SP	26
P09465	SP	16
P02649	SP	18
P02659	SP	24
Q6UW56	SP	30
O43827	SP	26
O14791	SP	27
Q03472	SP	28
C1IC49	SP	21
A2CKF7	SP	21
F5CPD6	SP	21
P80958	SP	21
P42255	SP	18
P19414	MT	16
P17690	SP	19
Q5XM24	SP	18
Q3C251	CH	26
P18328	SP	21
Q8QGR0	SP	21
Q9FUT3	MT	63
P07692	SP	24
P07634	SP	25
P02749	SP	19
Q25417	MT	9
P80392	SP	28
Q9PW66	SP	19
A6P6V9	SP	28
P12637	SP	19
Q8JFE6	SP	19
P10855	SP	23
P07221	SP	28
P19204	SP	19
Q8N6Q3	SP	21
P18915	SP	14
P22748	SP	18
P18761	SP	17
Q9LXD6	SP	23
Q9R100	SP	25
P18892	SP	26
O00478	SP	29
Q6UX41	SP	17
Q6UB35	MT	31
Q16568	SP	27
O09165	SP	34
P31235	SP	19
P51868	SP	19
P14066	MT	25
Q96398	CH	58
P06332	SP	26
P50229	SP	23
Q8H8C7	SP	28
Q8VCT4	SP	18
P06276	SP	28
Q16627	SP	19
P55773	SP	21
Q9NPF0	SP	35
O77541	SP	24
P14661	SP	13
P19835	SP	20
P42292	SP	33
O62680	SP	25
P16303	SP	18
Q06153	SP	25
Q6UPE0	MT	34
P55774	SP	20
P01730	SP	25
Q9H5V8	SP	29
P00751	SP	25
Q16663	SP	21
P10147	SP	23
Q5ZPR3	SP	28
O94907	SP	31
Q15768	SP	27
P22388	SP	25
P20827	SP	18
P85213	SP	29
P81160	SP	21
Q8T0W8	SP	24
Q9SUQ8	SP	29
P19427	SP	18
P81999	SP	22
Q8BSU2	SP	26
Q43153	MT	27
P83403	SP	23
P16619	SP	23
Q9SSA5	TH	92
Q09128	MT	35
P34998	SP	23
Q02862	SP	15
Q8T0W2	SP	19
A7L035	SP	20
A7L036	SP	17
Q07325	SP	22
P00125	MT	84
P10606	MT	31
P00427	MT	40
Q96318	SP	23
Q86IV5	SP	21
O42807	SP	21
P02765	SP	18
O00748	SP	26
Q63010	SP	18
P01274	SP	20
P04405	SP	18
Q9SZJ5	MT	30
Q9LQL0	MT	35
P20821	MT	48
P50441	MT	37
Q9QYH7	SP	23
P29794	SP	20
Q9EQX0	SP	23
I3LGZ3	SP	24
P35571	MT	42
O60565	SP	24
P82358	SP	23
Q01401	CH	64
F7J1C8	SP	21
P43555	SP	28
Q39688	SP	24
Q1ZYQ8	SP	31
P0C1Y5	SP	30
P02771	SP	18
Q5KQS4	SP	19
P23141	SP	17
P12337	SP	18
Q8BK48	SP	26
P0C8E7	SP	20
P21760	SP	20
O48818	SP	20
P30084	MT	27
P14604	MT	29
P12724	SP	27
P29036	CH	46
P41822	SP	27
Q9DGI0	SP	19
P54803	SP	42
P00533	SP	24
Q1XIR9	CH	50
Q1XH05	CH	50
P00738	SP	18
P24854	SP	22
P21744	SP	21
Q16552	SP	23
Q9UHD0	SP	24
P25605	MT	24
Q14641	SP	25
P00995	SP	23
P26010	SP	19
